# name fluence width dm_obs dm_exc_ne2001 dm_exc_ymw16
FRB20190516B 8.903782 9.830400 1235.445304 1202.085687 1211.953478
FRB20190517D 5.800000 14.750000 1180.148000 1086.800000 1097.300000
FRB20190517C 8.973404 0.983040 335.496926 148.218239 44.503867
FRB20190518B 1.994958 1.966080 913.703121 887.645688 893.535175
FRB20190518C 17.368556 2.949120 443.941113 402.091798 407.939257
FRB20190518D 2.782076 1.966080 202.470613 148.691856 151.643085
FRB20190518G 1.476757 1.966080 524.887149 461.802738 459.820115
FRB20190519D 0.871696 1.970000 539.771000 509.300000 521.100000
FRB20190519E 1.257067 1.966080 693.628243 666.131168 681.294483
FRB20190519F 4.409858 7.864320 797.551484 755.195957 762.738410
FRB20190519G 19.754181 19.660800 429.919878 356.320040 351.038433
FRB20190519H 1.634382 1.966080 1170.885667 1111.868783 1112.494589
FRB20190519J 0.940387 1.966080 642.694623 586.319802 588.567333
FRB20190520A 2.633297 2.949120 432.411011 352.544850 366.928865
FRB20190527A 18.264372 49.152000 586.156379 552.491350 561.409617
FRB20190527A 18.264372 49.152000 586.156379 552.491350 561.409617
FRB20190527C 21.091131 7.864320 535.486576 461.796120 451.526916
FRB20190529A 1.463641 2.949120 704.390027 538.831560 482.115853
FRB20190530A 1.230732 1.966080 555.319041 415.736336 352.003348
